"filename", "language", "Database", "pip requirements", "Markdown", "Python", "YAML", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/requirements.txt", "pip requirements", 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/admin.py", "Python", 0, 0, 0, 4, 0, 0, 0, 0, 1, 4, 9
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/apps.py", "Python", 0, 0, 0, 5, 0, 0, 0, 0, 1, 5, 11
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/forms.py", "Python", 0, 0, 0, 20, 0, 0, 0, 0, 1, 6, 27
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/migrations/0001_initial.py", "Python", 0, 0, 0, 18, 0, 0, 0, 0, 1, 7, 26
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/migrations/0002_auto_20200627_0417.py", "Python", 0, 0, 0, 13, 0, 0, 0, 0, 1, 6, 20
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/migrations/0003_auto_20200703_0321.py", "Python", 0, 0, 0, 18, 0, 0, 0, 0, 1, 6, 25
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/migrations/0004_userprofileadditional_image.py", "Python", 0, 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/models.py", "Python", 0, 0, 0, 22, 0, 0, 0, 0, 2, 9, 33
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/signals.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 1, 9, 21
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/static/users/main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/templates/users/change_pwd.html", "HTML", 0, 0, 0, 0, 0, 0, 22, 0, 4, 2, 28
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/templates/users/login.html", "HTML", 0, 0, 0, 0, 0, 0, 78, 0, 0, 17, 95
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/templates/users/logout.html", "HTML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/templates/users/profile.html", "HTML", 0, 0, 0, 0, 0, 0, 22, 0, 4, 2, 28
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/templates/users/register.html", "HTML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/tests.py", "Python", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
"/Users/vodoanminhhieuvn/iCloud Drive (Archive)/Desktop/C_Garage/users/views.py", "Python", 0, 0, 0, 40, 0, 0, 0, 0, 11, 12, 63
"Total", "-", 320, 16, 42, 1062, 26, 0, 501, 87, 120, 588, 2762
